City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Zinder,NE,13.8072,8.9881,71.42,5,41,8.63,scattered clouds
241,Gouvieux,FR,49.1871,2.4144,44.89,90,100,6.96,overcast clouds
242,Visakhapatnam,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
243,Kavieng,PG,-9.0763,143.2092,85.37,69,68,7.58,broken clouds
244,Iquitos,PE,-10.0681,-78.1522,70.66,84,100,10.6,overcast clouds
245,Tuatapere,NZ,-46.6,168.3333,62.29,80,100,8.19,overcast clouds
246,Rudbar,AF,30.15,62.6,62.64,17,0,2.71,clear sky
247,Liberal,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
248,Seminole,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
249,Pareora,NZ,-46.6,168.3333,62.29,80,100,8.19,overcast clouds
250,Kununurra,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
251,Aklavik,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
252,Chokurdakh,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
253,Jabiru,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
254,Magnolia,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
255,Westport,AU,-28.8667,153.5667,78.01,77,99,23.33,overcast clouds
256,Cayenne,GF,4.9333,-52.3333,78.1,1,100,1.14,overcast clouds
257,Gat,LY,31.2089,16.5887,72.57,22,87,23.49,overcast clouds
258,Puerto Carreno,CO,12.5847,-81.7006,80.62,78,40,10.36,scattered clouds
259,Lovozero,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
260,Mahanoro,MG,-25.1667,45.05,65.8,87,0,7.78,clear sky
261,Shirokiy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
262,Boffa,GN,10.1667,-14.0333,77.5,90,6,2.86,clear sky
263,Rongcheng,CN,25.4833,103.7833,58.05,78,90,10.87,overcast clouds
264,Necochea,AR,-54.8,-68.3,46.06,66,40,4.61,scattered clouds
265,Teya,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
266,Seymchan,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
267,Bonavista,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
268,Marsa Matruh,EG,31.3525,27.2453,60.57,67,100,7.31,overcast clouds
269,Iquique,CL,-53.15,-70.9167,50.11,57,75,11.5,broken clouds
270,Nago,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
271,Morondava,MG,-25.1667,45.05,65.8,87,0,7.78,clear sky
272,Yar-Sale,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
273,Tomatlan,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
274,Brae,GB,56.8095,-2.6549,33.01,78,8,6.71,clear sky
275,Tamandare,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
276,Muncar,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
277,Pucallpa,PE,-10.0681,-78.1522,70.66,84,100,10.6,overcast clouds
278,Tawkar,PH,7.9986,124.2928,79.27,71,10,3.98,clear sky
279,Illoqqortoormiut,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
280,Amazar,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
281,Pokosnoye,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
282,Ruzomberok,SK,49.0748,19.3075,45.84,93,100,3.49,overcast clouds
283,Broome,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
284,Qaanaaq,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
285,Hamilton,US,39.1834,-84.5333,75.97,38,0,28.77,clear sky
286,Santo Tomas,PE,-10.0681,-78.1522,70.66,84,100,10.6,overcast clouds
287,Karaman,TR,37.0833,33.25,40.93,57,40,8.37,scattered clouds
288,Tateyama,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
289,Sabang,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
290,Snasa,NO,70.8578,29.0864,24.8,70,100,17.96,light snow
291,Petatlan,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
292,Kaitangata,NZ,-46.6,168.3333,62.29,80,100,8.19,overcast clouds
293,Zaqatala,AZ,41.6336,46.6433,45.07,53,20,6.91,few clouds
294,Flin Flon,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
295,College,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
296,Jadu,LY,31.2089,16.5887,72.57,22,87,23.49,overcast clouds
297,Raton,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
298,Port Hedland,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
299,Svetlogorsk,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
300,Majene,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
301,Coahuayana,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
302,Middelburg,ZA,-34.5322,20.0403,59.61,82,100,3.22,overcast clouds
303,Erken-Shakhar,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
304,Bursol,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
305,Thompson,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
306,Bure,ET,10.7,37.0667,63.12,42,19,2.89,few clouds
307,Pabellon De Arteaga,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
308,Buckeye,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
309,Juneau,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
310,Georgetown,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
311,Mamallapuram,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
