City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Uniara,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
520,Saint-Joseph,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
522,Diamantino,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
523,Mitu,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
524,Monrovia,LR,79.43,scattered clouds,4.375,-7.7169,Screensaver
527,Makakilo City,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
528,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
531,Nemuro,JP,75.13,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
533,Mildura,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
534,Palabuhanratu,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
535,Iberia,PE,70.66,overcast clouds,-10.0681,-78.1522,Hotel Miramar
536,Sabha,LY,74.23,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
537,Amapa,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
538,Broken Hill,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
540,East Foothills,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
542,Cooma,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
543,Martapura,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
546,Sulangan,PH,88.5,scattered clouds,16.2167,121.6,D' Fields Travellers Place
547,Bhanpuri,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
550,Tres Coracoes,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
551,Suluq,LY,72.57,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
553,Daudnagar,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
554,Along,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
561,Lamar,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
562,Gizo,SB,84.25,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
568,Cowra,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
570,Manaus,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
572,Batie,BF,83.32,scattered clouds,11.1771,-4.2979,IBA Hotel
573,Leh,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
575,Bilma,NE,71.42,scattered clouds,13.8072,8.9881,Hotel de Ville
577,Caucaia,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
579,Mackay,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
580,Babanusah,PH,79.27,clear sky,7.9986,124.2928,Derogongan Residence
582,Wakkanai,JP,75.13,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
586,Da Nang,VN,75.45,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
588,New Smyrna Beach,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
590,Maragogi,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
593,Ailigandi,PA,75.61,few clouds,8.5,-82.4333,Waterfall Hostel
600,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
604,Orcopampa,PE,70.66,overcast clouds,-10.0681,-78.1522,Hotel Miramar
606,Half Moon Bay,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
609,Seoni Malwa,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
611,Jutai,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
612,Redmond,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
613,Koumac,NC,78.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
615,Namatanai,PG,85.37,broken clouds,-9.0763,143.2092,Daru Lodge
616,Saint-Pierre,RE,76.68,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
619,Vila Velha,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
620,Saurimo,AO,77.97,broken clouds,-6.1349,12.3689,Hotel Mpampa
622,Cartagena,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
627,San Policarpo,PH,88.5,scattered clouds,16.2167,121.6,D' Fields Travellers Place
631,Pasighat,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
632,Taree,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
636,Merauke,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
637,Indramayu,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
641,Bonfim,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
643,Santa Isabel Do Rio Negro,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
645,Pacifica,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
647,Nacogdoches,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
651,Dicabisagan,PH,88.5,scattered clouds,16.2167,121.6,D' Fields Travellers Place
653,Iracoubo,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
654,Remanso,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
655,Maitum,PH,88.5,scattered clouds,16.2167,121.6,D' Fields Travellers Place
657,Tapaua,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
658,Lata,SB,84.25,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
659,Honiara,SB,84.25,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
660,Karratha,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
661,Miri,MY,85.62,overcast clouds,6.0333,102.2833,Daseda Guest House
664,Pitimbu,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
666,Mugumu,TZ,77.67,moderate rain,-7.9139,39.6668,Bustani B&B
669,Poum,NC,78.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
671,Bandarbeyla,SO,79.14,broken clouds,9.4942,50.8122,JABIR HOTEL
676,Tuckahoe,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
677,Tadine,NC,78.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
678,Rovira,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
682,Kalmunai,LK,80.31,clear sky,7.7102,81.6924,Grand Star Guest House
